PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Title patch,Title patch status,Title length,No. of titles,Is indexable page
46,https://noctalia.app/es/blog/suenos-de-volar,"Soñar que vuelas: significado de volar alto, bajo o con miedo | Noctalia",text/html; charset=utf-8,false,200,9,0,,,72,1,true
46,https://noctalia.app/fr/applications-journal-de-reves,Meilleures applications de journal de reves et alternatives a Noctalia | Noctalia,text/html; charset=utf-8,false,200,0,0,,,81,1,true
21,https://noctalia.app/en/blog/dream-control-problem-solving,Controlling Your Dreams to Solve Problems: The Study That Changes Everything | Noctalia,text/html; charset=utf-8,false,200,0,0,,,87,1,true
21,https://noctalia.app/en/blog/daylight-saving-time-sleep,Daylight Saving Time and Sleep: How the Clock Change Disrupts Your Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,,,84,1,true
21,https://noctalia.app/en/blog/sleep-debt-health-dreams,Sleep Debt: How Chronic Sleep Deprivation Affects Your Health and Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,,,83,1,true
21,https://noctalia.app/en/blog/sleep-health-priority,Sleep Is Your #1 Health Lever: The OHSU Study That Changes Everything | Noctalia,text/html; charset=utf-8,false,200,0,0,,,80,1,true
21,https://noctalia.app/en/blog/spring-sleep-disruption-dreams,Spring Sleep Disruption: How Longer Days Alter Your Sleep and Dreams | Noctalia,text/html; charset=utf-8,false,200,0,0,,,79,1,true
20,https://noctalia.app/de/blog/schlaf-gesundheit-prioritaet,"Schlaf als Gesundheitsfaktor Nr. 1: Die OHSU-Studie, die alles ver&auml;ndert | Noctalia",text/html; charset=utf-8,false,200,0,0,,,88,1,true
20,https://noctalia.app/fr/blog/perturbation-sommeil-printemps-reves,Perturbation du sommeil au printemps : comment les jours plus longs altèrent votre sommeil et vos rêves | Noctalia,text/html; charset=utf-8,false,200,0,0,,,114,1,true
20,https://noctalia.app/es/blog/controlar-suenos-resolucion-problemas,Controlar tus sueños para resolver problemas: el estudio que lo cambia todo | Noctalia,text/html; charset=utf-8,false,200,0,0,,,86,1,true
20,https://noctalia.app/it/blog/sogni-vividi-sonno-riparatore,Sogni vividi e sonno riparatore: cosa mostra lo studio PLOS Biology | Noctalia,text/html; charset=utf-8,false,200,0,0,,,78,1,true
20,https://noctalia.app/es/blog/ia-analisis-sueno-suenos,La IA que analiza tu sueño: la revolución SleepFM de Stanford | Noctalia,text/html; charset=utf-8,false,200,0,0,,,72,1,true
20,https://noctalia.app/es/blog/suenos-vividos-sueno-reparador,Sueños vívidos y sueño reparador: lo que revela el estudio de PLOS Biology | Noctalia,text/html; charset=utf-8,false,200,0,0,,,85,1,true
20,https://noctalia.app/es/blog/sueno-salud-prioridad,"El sueño, tu principal palanca de salud: el estudio OHSU que lo cambia todo | Noctalia",text/html; charset=utf-8,false,200,0,0,,,86,1,true
20,https://noctalia.app/it/blog/sonno-salute-priorita,Il sonno come leva di salute numero uno: lo studio OHSU che cambia tutto | Noctalia,text/html; charset=utf-8,false,200,0,0,,,83,1,true
20,https://noctalia.app/it/blog/tracker-sonno-wearable-sogni,Tracker del sonno wearable e sogni: cosa misurano e cosa sfugge loro | Noctalia,text/html; charset=utf-8,false,200,0,0,,,79,1,true
20,https://noctalia.app/it/blog/sogni-non-casuali-studio-ia,I sogni non sono casuali: cosa rivela uno studio IA del 2026 | Noctalia,text/html; charset=utf-8,false,200,0,0,,,71,1,true
20,https://noctalia.app/de/blog/traumkontrolle-problemloesung,"Träume steuern zur Problemlösung: Die Studie, die alles verändert | Noctalia",text/html; charset=utf-8,false,200,0,0,,,76,1,true
20,https://noctalia.app/it/blog/ora-legale-sonno-sogni,Ora legale e sonno: come il cambio dell'ora altera i tuoi sogni | Noctalia,text/html; charset=utf-8,false,200,0,0,,,74,1,true
20,https://noctalia.app/de/blog/schlaf-tracker-wearables-traeume,Schlaf-Tracker und Tr&auml;ume: Was Wearables messen und was ihnen entgeht | Noctalia,text/html; charset=utf-8,false,200,0,0,,,85,1,true
20,https://noctalia.app/de/blog/fruehling-schlaf-stoerung-traeume,Schlafst&ouml;rung im Fr&uuml;hling: Wie l&auml;ngere Tage Ihren Schlaf und Ihre Tr&auml;ume ver&auml;ndern | Noctalia,text/html; charset=utf-8,false,200,0,0,,,118,1,true
20,https://noctalia.app/fr/blog/heure-ete-sommeil-reves,Changement d'heure et sommeil : comment l'heure d'été perturbe vos rêves | Noctalia,text/html; charset=utf-8,false,200,0,0,,,83,1,true
20,https://noctalia.app/de/blog/ki-schlafanalyse-traeume,"Die KI, die Ihren Schlaf liest: Stanfords SleepFM-Revolution | Noctalia",text/html; charset=utf-8,false,200,0,0,,,71,1,true
20,https://noctalia.app/fr/blog/controler-reves-resolution-problemes,Contrôler ses rêves pour résoudre des problèmes : l'étude qui change tout | Noctalia,text/html; charset=utf-8,false,200,0,0,,,84,1,true
20,https://noctalia.app/de/blog/traeume-nicht-zufaellig-ki-studie,Träume sind nicht zufällig: Was eine KI-Studie von 2026 zeigt | Noctalia,text/html; charset=utf-8,false,200,0,0,,,72,1,true
20,https://noctalia.app/es/blog/alteracion-sueno-primavera-suenos,Alteraci&oacute;n del sue&ntilde;o en primavera: c&oacute;mo los d&iacute;as m&aacute;s largos cambian tu descanso y tus sue&ntilde;os | Noctalia,text/html; charset=utf-8,false,200,0,0,,,145,1,true
20,https://noctalia.app/it/blog/controllare-sogni-risoluzione-problemi,Controllare i sogni per risolvere problemi: lo studio che cambia tutto | Noctalia,text/html; charset=utf-8,false,200,0,0,,,81,1,true
20,https://noctalia.app/fr/blog/reves-vivaces-sommeil-reparateur,Rêves vivaces et sommeil réparateur : ce que révèle l'étude PLOS Biology | Noctalia,text/html; charset=utf-8,false,200,0,0,,,83,1,true
20,https://noctalia.app/de/blog/schlafschuld-gesundheit-traeume,Schlafschuld und chronischer Schlafmangel: Auswirkungen auf Gesundheit und Tr&auml;ume | Noctalia,text/html; charset=utf-8,false,200,0,0,,,97,1,true
20,https://noctalia.app/en/blog/vivid-dreams-restful-sleep,Vivid Dreams and Restful Sleep: What the New PLOS Biology Study Shows | Noctalia,text/html; charset=utf-8,false,200,0,0,,,80,1,true
20,https://noctalia.app/it/blog/disturbo-sonno-primavera-sogni,Disturbo del sonno in primavera: come le giornate pi&ugrave; lunghe alterano il sonno e i sogni | Noctalia,text/html; charset=utf-8,false,200,0,0,,,106,1,true
20,https://noctalia.app/en/blog/wearable-sleep-trackers-dreams,Wearable Sleep Trackers and Dreams: What They Measure vs. What They Miss | Noctalia,text/html; charset=utf-8,false,200,0,0,,,83,1,true
20,https://noctalia.app/es/blog/deuda-sueno-salud-suenos,Deuda de sue&ntilde;o y privaci&oacute;n cr&oacute;nica: c&oacute;mo afectan tu salud y tus sue&ntilde;os | Noctalia,text/html; charset=utf-8,false,200,0,0,,,116,1,true
20,https://noctalia.app/fr/blog/journee-sommeil-environnement-reves,Journée du sommeil 2026 : comment votre environnement transforme vos rêves | Noctalia,text/html; charset=utf-8,false,200,0,0,,,85,1,true
20,https://noctalia.app/es/blog/suenos-no-son-aleatorios-estudio-ia,Tus sueños no son aleatorios: lo que revela un estudio con IA de 2026 | Noctalia,text/html; charset=utf-8,false,200,0,0,,,80,1,true
20,https://noctalia.app/fr/blog/ia-analyse-sommeil-reves,L'IA qui analyse votre sommeil : la révolution SleepFM de Stanford | Noctalia,text/html; charset=utf-8,false,200,0,0,,,77,1,true
20,https://noctalia.app/fr/blog/traqueurs-sommeil-connectes-reves,Traqueurs de sommeil connectés et rêves : ce qu'ils mesurent vs ce qu'ils manquent | Noctalia,text/html; charset=utf-8,false,200,0,0,,,93,1,true
20,https://noctalia.app/de/blog/zeitumstellung-schlaf-traeume,Zeitumstellung und Schlaf: Wie der Uhrzeitwechsel Ihre Traeume stoert | Noctalia,text/html; charset=utf-8,false,200,0,0,,,80,1,true
20,https://noctalia.app/es/blog/horario-verano-sueno-suenos,Cambio de hora y sueño: como el horario de verano altera tus sueños | Noctalia,text/html; charset=utf-8,false,200,0,0,,,78,1,true
20,https://noctalia.app/fr/blog/reves-pas-aleatoires-etude-ia,Vos rêves ne sont pas aléatoires : l'étude IA 2026 qui les décrypte | Noctalia,text/html; charset=utf-8,false,200,0,0,,,78,1,true
20,https://noctalia.app/fr/blog/dette-sommeil-sante-reves,Dette de sommeil : comment la privation chronique affecte votre santé et vos rêves | Noctalia,text/html; charset=utf-8,false,200,0,0,,,93,1,true
20,https://noctalia.app/it/blog/debito-sonno-salute-sogni,Debito di sonno e privazione cronica: come influiscono sulla salute e sui sogni | Noctalia,text/html; charset=utf-8,false,200,0,0,,,90,1,true
20,https://noctalia.app/it/blog/ia-analisi-sonno-sogni,L'IA che analizza il tuo sonno: la rivoluzione SleepFM di Stanford | Noctalia,text/html; charset=utf-8,false,200,0,0,,,77,1,true
20,https://noctalia.app/es/blog/rastreadores-sueno-wearables-suenos,Rastreadores de sue&ntilde;o wearables y sue&ntilde;os: qu&eacute; miden y qu&eacute; se les escapa | Noctalia,text/html; charset=utf-8,false,200,0,0,,,110,1,true
20,https://noctalia.app/it/blog/giornata-sonno-ambiente-sogni,Giornata del Sonno 2026: come il tuo ambiente trasforma i tuoi sogni | Noctalia,text/html; charset=utf-8,false,200,0,0,,,79,1,true
20,https://noctalia.app/de/blog/lebendige-traeume-erholsamer-schlaf,Lebendige Träume und erholsamer Schlaf: Was die PLOS-Biology-Studie zeigt | Noctalia,text/html; charset=utf-8,false,200,0,0,,,84,1,true
20,https://noctalia.app/fr/blog/sommeil-sante-priorite,"Le sommeil, votre levier santé n°1 : l'étude OHSU qui change tout | Noctalia",text/html; charset=utf-8,false,200,0,0,,,76,1,true
